date_game,visitor_team_name,home_team_name,visitor_goals,home_goals,overtimes
178,2015-11-03,Columbus Blue Jackets,San Jose Sharks,5,2,
179,2015-11-03,Los Angeles Kings,St. Louis Blues,3,0,
180,2015-11-04,Florida Panthers,Anaheim Ducks,2,3,SO
181,2015-11-04,St. Louis Blues,Chicago Blackhawks,6,5,OT
182,2015-11-04,Winnipeg Jets,Toronto Maple Leafs,4,2,
183,2015-11-04,Pittsburgh Penguins,Vancouver Canucks,3,2,
184,2015-11-05,Colorado Avalanche,Arizona Coyotes,2,4,
185,2015-11-05,Tampa Bay Lightning,Buffalo Sabres,4,1,
186,2015-11-05,Philadelphia Flyers,Calgary Flames,1,2,OT
187,2015-11-05,Columbus Blue Jackets,Los Angeles Kings,3,2,
188,2015-11-05,Nashville Predators,Minnesota Wild,3,2,
189,2015-11-05,New York Islanders,Montreal Canadiens,1,4,
190,2015-11-05,Winnipeg Jets,Ottawa Senators,2,3,SO
191,2015-11-05,Florida Panthers,San Jose Sharks,2,5,
192,2015-11-05,Boston Bruins,Washington Capitals,1,4,
193,2015-11-06,Columbus Blue Jackets,Anaheim Ducks,2,4,
194,2015-11-06,Dallas Stars,Carolina Hurricanes,4,1,
195,2015-11-06,New York Rangers,Colorado Avalanche,2,1,
196,2015-11-06,Pittsburgh Penguins,Edmonton Oilers,2,1,
197,2015-11-06,Chicago Blackhawks,New Jersey Devils,2,4,
198,2015-11-06,Detroit Red Wings,Toronto Maple Leafs,2,1,OT
199,2015-11-07,New York Rangers,Arizona Coyotes,4,1,
200,2015-11-07,Vancouver Canucks,Buffalo Sabres,2,3,
201,2015-11-07,Ottawa Senators,Carolina Hurricanes,2,3,OT
202,2015-11-07,Pittsburgh Penguins,Calgary Flames,2,5,
203,2015-11-07,Florida Panthers,Los Angeles Kings,1,4,
204,2015-11-07,Tampa Bay Lightning,Minnesota Wild,0,1,
205,2015-11-07,Boston Bruins,Montreal Canadiens,2,4,
206,2015-11-07,St. Louis Blues,Nashville Predators,4,0,
207,2015-11-07,Anaheim Ducks,San Jose Sharks,1,0,
208,2015-11-07,Philadelphia Flyers,Winnipeg Jets,3,0,
209,2015-11-07,Toronto Maple Leafs,Washington Capitals,2,3,SO
210,2015-11-08,Edmonton Oilers,Chicago Blackhawks,2,4,
211,2015-11-08,Dallas Stars,Detroit Red Wings,4,1,
212,2015-11-08,Vancouver Canucks,New Jersey Devils,3,4,OT
213,2015-11-08,Boston Bruins,New York Islanders,2,1,
214,2015-11-09,Arizona Coyotes,Anaheim Ducks,4,3,OT
215,2015-11-10,Vancouver Canucks,Columbus Blue Jackets,5,3,
216,2015-11-10,Toronto Maple Leafs,Dallas Stars,3,2,
217,2015-11-10,Washington Capitals,Detroit Red Wings,0,1,
218,2015-11-10,Calgary Flames,Florida Panthers,3,4,
219,2015-11-10,Arizona Coyotes,Los Angeles Kings,3,2,
220,2015-11-10,Winnipeg Jets,Minnesota Wild,3,5,
221,2015-11-10,St. Louis Blues,New Jersey Devils,2,0,
222,2015-11-10,Ottawa Senators,Nashville Predators,5,7,
223,2015-11-10,Carolina Hurricanes,New York Rangers,0,3,
224,2015-11-10,Colorado Avalanche,Philadelphia Flyers,4,0,
225,2015-11-10,New York Islanders,San Jose Sharks,4,2,
226,2015-11-10,Buffalo Sabres,Tampa Bay Lightning,4,1,
227,2015-11-11,Edmonton Oilers,Anaheim Ducks,4,3,OT
228,2015-11-11,Montreal Canadiens,Pittsburgh Penguins,3,4,SO
229,2015-11-12,Edmonton Oilers,Arizona Coyotes,1,4,
230,2015-11-12,Colorado Avalanche,Boston Bruins,3,2,
231,2015-11-12,Minnesota Wild,Carolina Hurricanes,3,2,OT
232,2015-11-12,New Jersey Devils,Chicago Blackhawks,3,2,
233,2015-11-12,Winnipeg Jets,Dallas Stars,3,6,
234,2015-11-12,Buffalo Sabres,Florida Panthers,3,2,
235,2015-11-12,New York Islanders,Los Angeles Kings,1,2,
236,2015-11-12,Toronto Maple Leafs,Nashville Predators,2,1,SO
237,2015-11-12,St. Louis Blues,New York Rangers,3,6,
238,2015-11-12,Vancouver Canucks,Ottawa Senators,2,3,
239,2015-11-12,Washington Capitals,Philadelphia Flyers,5,2,
240,2015-11-12,Calgary Flames,Tampa Bay Lightning,1,3,
241,2015-11-13,New York Islanders,Anaheim Ducks,4,1,
242,2015-11-13,San Jose Sharks,Detroit Red Wings,3,2,
243,2015-11-13,Columbus Blue Jackets,Pittsburgh Penguins,2,1,
244,2015-11-13,Calgary Flames,Washington Capitals,3,2,OT
245,2015-11-14,Detroit Red Wings,Boston Bruins,1,3,
246,2015-11-14,San Jose Sharks,Buffalo Sabres,2,1,OT
247,2015-11-14,Philadelphia Flyers,Carolina Hurricanes,3,2,OT
248,2015-11-14,Arizona Coyotes,Columbus Blue Jackets,2,5,
249,2015-11-14,Minnesota Wild,Dallas Stars,2,3,OT
250,2015-11-14,Edmonton Oilers,Los Angeles Kings,3,4,
251,2015-11-14,Colorado Avalanche,Montreal Canadiens,6,1,
252,2015-11-14,Pittsburgh Penguins,New Jersey Devils,0,4,
253,2015-11-14,Winnipeg Jets,Nashville Predators,0,7,
254,2015-11-14,New York Rangers,Ottawa Senators,2,1,SO
255,2015-11-14,Chicago Blackhawks,St. Louis Blues,4,2,
256,2015-11-14,Florida Panthers,Tampa Bay Lightning,5,4,SO
257,2015-11-14,Vancouver Canucks,Toronto Maple Leafs,2,4,
258,2015-11-15,Calgary Flames,Chicago Blackhawks,1,4,
259,2015-11-15,Toronto Maple Leafs,New York Rangers,3,4,
260,2015-11-16,Anaheim Ducks,Carolina Hurricanes,4,1,
261,2015-11-16,Tampa Bay Lightning,Florida Panthers,0,1,
262,2015-11-16,Vancouver Canucks,Montreal Canadiens,3,4,OT
263,2015-11-16,Arizona Coyotes,New York Islanders,2,5,
