date_game,visitor_team_name,home_team_name,visitor_goals,home_goals,overtimes
142,2016-11-02,Pittsburgh Penguins,Anaheim Ducks,5,1,
143,2016-11-02,Vancouver Canucks,Montreal Canadiens,0,3,
144,2016-11-02,Detroit Red Wings,Philadelphia Flyers,3,4,OT
145,2016-11-03,Nashville Predators,Arizona Coyotes,2,3,SO
146,2016-11-03,Toronto Maple Leafs,Buffalo Sabres,2,1,
147,2016-11-03,Colorado Avalanche,Chicago Blackhawks,0,4,
148,2016-11-03,St. Louis Blues,Dallas Stars,2,6,
149,2016-11-03,New Jersey Devils,Florida Panthers,3,4,OT
150,2016-11-03,Pittsburgh Penguins,Los Angeles Kings,2,3,OT
151,2016-11-03,Philadelphia Flyers,New York Islanders,3,2,SO
152,2016-11-03,Edmonton Oilers,New York Rangers,3,5,
153,2016-11-03,Vancouver Canucks,Ottawa Senators,0,1,
154,2016-11-03,Calgary Flames,San Jose Sharks,3,2,
155,2016-11-03,Boston Bruins,Tampa Bay Lightning,4,3,SO
156,2016-11-03,Winnipeg Jets,Washington Capitals,3,4,OT
157,2016-11-04,Arizona Coyotes,Anaheim Ducks,1,5,
158,2016-11-04,Montreal Canadiens,Columbus Blue Jackets,0,10,
159,2016-11-04,Winnipeg Jets,Detroit Red Wings,5,3,
160,2016-11-05,New York Rangers,Boston Bruins,5,2,
161,2016-11-05,Minnesota Wild,Colorado Avalanche,0,1,
162,2016-11-05,Chicago Blackhawks,Dallas Stars,3,2,
163,2016-11-05,Calgary Flames,Los Angeles Kings,0,5,
164,2016-11-05,Philadelphia Flyers,Montreal Canadiens,4,5,
165,2016-11-05,Carolina Hurricanes,Nashville Predators,3,2,SO
166,2016-11-05,Edmonton Oilers,New York Islanders,4,3,SO
167,2016-11-05,Buffalo Sabres,Ottawa Senators,2,1,
168,2016-11-05,Pittsburgh Penguins,San Jose Sharks,5,0,
169,2016-11-05,Columbus Blue Jackets,St. Louis Blues,1,2,OT
170,2016-11-05,New Jersey Devils,Tampa Bay Lightning,1,4,
171,2016-11-05,Vancouver Canucks,Toronto Maple Leafs,3,6,
172,2016-11-05,Florida Panthers,Washington Capitals,2,4,
173,2016-11-06,Calgary Flames,Anaheim Ducks,1,4,
174,2016-11-06,New Jersey Devils,Carolina Hurricanes,4,1,
175,2016-11-06,Dallas Stars,Chicago Blackhawks,3,4,OT
176,2016-11-06,Edmonton Oilers,Detroit Red Wings,2,1,
177,2016-11-06,Winnipeg Jets,New York Rangers,2,5,
178,2016-11-06,Colorado Avalanche,St. Louis Blues,1,5,
179,2016-11-07,Buffalo Sabres,Boston Bruins,0,4,
180,2016-11-07,Tampa Bay Lightning,Florida Panthers,1,3,
181,2016-11-07,Vancouver Canucks,New York Islanders,2,4,
182,2016-11-08,Arizona Coyotes,Colorado Avalanche,4,2,
183,2016-11-08,Boston Bruins,Montreal Canadiens,2,3,
184,2016-11-08,Carolina Hurricanes,New Jersey Devils,2,3,SO
185,2016-11-08,Ottawa Senators,Nashville Predators,1,3,
